student_id,semester,previous_cgpa,attendance,internal_marks,assignment_completion,lab_marks,backlogs,study_hours,performance_category
S1001,3,8.26,84.05,38.72,80.31,88.09,0,2.58,AVERAGE
S1002,1,6.41,91.98,62.5,97.64,63.12,0,6.07,GOOD
S1003,3,8.72,93.82,42.74,62.25,95.04,3,6.86,GOOD
S1004,2,7.84,71.69,44.14,65.5,76.0,3,1.57,AVERAGE
S1005,6,4.52,72.57,72.94,88.73,42.3,3,7.17,AVERAGE
S1006,1,9.37,87.39,58.58,70.35,90.76,4,6.58,GOOD
S1007,3,8.19,61.67,90.31,84.19,65.82,2,7.09,AVERAGE
S1008,6,8.32,89.38,54.15,67.58,43.92,4,5.89,AVERAGE
S1009,6,4.7,71.19,78.57,52.93,44.62,3,5.72,AVERAGE
S1010,4,6.48,51.14,62.67,84.71,78.31,1,4.68,GOOD
S1011,2,6.04,48.82,74.6,47.87,37.98,4,5.57,AT RISK
S1012,3,9.1,89.63,70.98,51.92,53.06,0,7.43,GOOD
S1013,2,7.54,47.95,63.37,77.61,43.81,2,1.7,AVERAGE
S1014,5,8.53,59.87,92.0,84.84,62.79,4,3.21,AVERAGE
S1015,3,6.44,62.71,55.56,93.68,61.1,3,1.51,AT RISK
S1016,5,5.25,54.17,45.63,56.36,67.88,4,7.61,AT RISK
S1017,5,7.05,61.64,75.69,46.64,52.62,0,4.12,AVERAGE
S1018,7,4.35,84.36,85.76,97.36,37.02,2,5.73,AVERAGE
S1019,3,8.55,45.78,37.42,49.27,73.71,3,6.89,AT RISK
S1020,7,7.47,88.84,61.98,51.86,58.54,3,7.94,AVERAGE
S1021,3,8.17,90.4,88.55,57.48,76.03,4,2.13,GOOD
S1022,5,5.95,64.73,79.98,71.76,41.85,2,6.6,AVERAGE
S1023,5,9.34,53.14,94.51,92.97,35.87,3,7.21,GOOD
S1024,6,8.91,76.84,66.88,85.63,50.64,2,1.34,GOOD
S1025,4,8.28,51.34,74.6,82.49,63.76,4,6.28,AVERAGE
S1026,6,5.07,64.34,53.15,50.51,59.83,0,3.48,AT RISK
S1027,3,6.57,95.8,91.85,61.46,86.05,1,5.54,GOOD
S1028,4,4.24,97.76,56.98,68.7,58.8,0,4.6,AVERAGE
S1029,4,4.85,85.92,79.31,48.85,68.42,3,2.82,AVERAGE
S1030,5,7.76,61.48,59.19,56.41,72.39,1,1.95,AVERAGE
S1031,5,8.1,81.45,68.71,58.5,36.38,1,1.82,AVERAGE
S1032,1,9.32,82.39,78.19,47.64,67.45,4,1.72,GOOD
S1033,6,5.79,65.56,65.54,73.01,56.72,1,5.46,AVERAGE
S1034,6,6.04,78.97,89.43,82.3,61.54,0,3.46,GOOD
S1035,1,6.58,45.57,60.16,44.2,41.32,0,2.52,AT RISK
S1036,7,5.04,56.08,73.82,68.87,84.32,1,5.84,AVERAGE
S1037,5,4.71,72.83,55.54,86.93,94.37,4,5.81,AVERAGE
S1038,1,6.62,53.68,59.49,84.88,36.4,2,4.77,AVERAGE
S1039,4,5.25,53.79,61.4,88.9,72.89,4,7.54,AVERAGE
S1040,6,7.68,89.32,42.55,66.89,83.12,1,3.7,GOOD
S1041,2,6.4,97.42,40.5,89.23,52.94,1,6.85,GOOD
S1042,7,8.58,74.47,75.05,54.45,84.62,0,1.53,AVERAGE
S1043,3,7.85,89.47,74.33,61.65,74.84,1,6.18,GOOD
S1044,2,5.72,97.49,74.77,50.58,93.54,2,7.92,GOOD
S1045,3,8.58,52.5,36.19,68.05,96.8,4,6.93,GOOD
S1046,4,8.43,68.76,54.59,63.52,37.67,1,5.06,GOOD
S1047,5,6.13,65.81,46.87,54.46,63.03,3,5.39,AVERAGE
S1048,7,5.59,49.24,81.69,85.11,69.46,3,3.47,AT RISK
S1049,2,7.75,85.03,86.64,58.83,44.24,1,5.76,AVERAGE
S1050,7,4.77,67.99,49.8,56.37,56.19,4,6.39,AVERAGE
S1051,4,5.1,69.87,75.07,47.85,97.22,2,7.99,AVERAGE
S1052,1,4.04,52.99,42.76,66.33,36.02,0,4.45,AT RISK
S1053,7,8.33,54.59,51.51,58.18,63.51,4,1.43,AVERAGE
S1054,3,7.66,93.08,43.32,62.16,88.09,4,5.17,GOOD
S1055,5,7.88,47.37,52.01,54.16,55.41,0,1.83,AT RISK
S1056,5,8.29,57.34,75.48,85.79,65.23,4,2.71,AVERAGE
S1057,1,6.52,60.48,89.62,95.8,96.62,4,3.3,GOOD
S1058,2,7.13,70.98,47.15,69.88,64.92,4,6.12,AVERAGE
S1059,5,4.77,76.08,67.52,78.58,43.25,1,2.29,AVERAGE
S1060,3,4.63,71.14,77.08,92.03,38.26,3,2.16,AVERAGE
S1061,1,7.68,49.46,92.18,99.93,94.56,2,1.31,GOOD
S1062,1,6.59,57.91,71.6,76.81,51.75,3,7.11,GOOD
S1063,6,7.11,89.71,50.31,93.39,66.76,3,5.85,GOOD
S1064,2,8.21,78.79,72.53,94.52,40.71,3,1.28,GOOD
S1065,1,7.49,79.4,54.23,87.49,61.69,2,1.2,AVERAGE
S1066,4,7.04,80.52,93.57,67.66,93.6,3,4.91,GOOD
S1067,1,7.08,85.43,58.98,44.87,66.65,2,2.98,AVERAGE
S1068,5,5.67,48.08,76.13,40.95,96.18,0,5.18,AVERAGE
S1069,4,4.17,64.43,36.39,68.63,51.31,0,4.04,AVERAGE
S1070,5,6.4,73.59,59.0,69.66,66.79,4,7.46,AVERAGE
S1071,4,5.18,62.94,87.51,64.44,89.15,4,3.01,AVERAGE
S1072,6,6.25,89.76,71.61,74.09,63.24,2,5.75,AVERAGE
S1073,5,8.69,70.58,61.64,73.13,52.61,0,1.38,AVERAGE
S1074,3,5.29,85.74,91.16,90.2,88.89,3,7.69,GOOD
S1075,1,4.32,90.16,86.24,46.52,59.56,0,7.87,GOOD
S1076,2,5.55,71.75,54.33,53.51,68.44,1,6.17,GOOD
S1077,1,5.61,93.21,67.67,87.58,96.52,1,4.26,GOOD
S1078,1,7.64,76.12,64.39,90.87,46.75,0,2.54,AVERAGE
S1079,2,7.06,90.06,72.93,99.69,53.99,4,6.69,GOOD
S1080,2,8.31,63.05,55.05,92.37,36.96,2,6.15,AVERAGE
S1081,1,7.65,71.44,49.65,93.39,59.69,1,2.55,AVERAGE
S1082,3,6.24,73.16,89.76,58.86,47.61,2,4.16,AVERAGE
S1083,4,8.48,50.56,90.43,64.1,77.84,0,4.24,GOOD
S1084,2,4.92,66.12,85.6,56.09,46.42,2,6.78,AVERAGE
S1085,2,4.12,93.62,93.69,76.38,77.51,2,5.79,AVERAGE
S1086,1,4.5,78.43,79.7,96.33,51.6,1,5.5,AVERAGE
S1087,1,7.97,54.41,80.88,60.68,57.38,4,5.55,AVERAGE
S1088,2,6.54,62.96,80.76,73.42,56.98,1,2.89,AVERAGE
S1089,4,4.89,55.15,63.84,57.78,80.16,0,3.6,GOOD
S1090,5,6.76,46.32,62.39,50.19,64.39,2,1.32,AT RISK
S1091,6,4.84,94.16,49.41,51.71,57.76,4,6.51,AVERAGE
S1092,5,7.83,68.75,73.69,43.48,88.72,1,4.03,AT RISK
S1093,5,6.45,61.3,52.36,96.96,71.03,0,4.07,AVERAGE
S1094,7,6.1,76.72,50.47,64.17,48.47,4,2.72,AVERAGE
S1095,2,5.66,45.39,70.16,90.05,91.71,2,2.47,AVERAGE
S1096,6,7.47,59.74,59.6,80.88,56.59,0,5.11,GOOD
S1097,7,5.99,82.26,48.13,51.52,37.46,3,2.63,AT RISK
S1098,4,4.48,78.59,83.96,50.53,66.16,1,1.45,AVERAGE
S1099,6,4.65,97.04,86.63,88.72,42.81,4,6.37,AVERAGE
S1100,1,9.29,77.88,45.06,55.88,50.02,1,3.64,AT RISK
S1101,7,9.0,70.31,35.45,94.8,82.07,2,3.66,AVERAGE
S1102,4,7.85,85.36,55.17,48.4,43.24,2,4.02,GOOD
S1103,2,5.46,92.88,82.85,80.66,85.84,1,6.71,AVERAGE
